model,tuning,scoring,rank,count
KNC,no,F1,20.0,30
KNC,no,F1,19.0,29
KNC,no,F1,21.0,28
KNC,no,F1,22.0,27
KNC,no,F1,25.0,26
KNC,no,F1,23.0,25
KNC,no,F1,24.0,24
KNC,no,F1,26.0,22
KNC,no,F1,27.0,18
KNC,no,F1,28.0,16
KNC,no,F1,29.0,13
KNC,no,F1,30.0,7
KNC,no,F1,31.0,4
LGBMC,no,ACC,0.0,148
LGBMC,no,ACC,1.0,115
LGBMC,no,ACC,4.0,65
LGBMC,no,ACC,7.0,59
LGBMC,no,ACC,3.0,53
LGBMC,no,ACC,2.0,53
LGBMC,no,ACC,6.0,50
LGBMC,no,ACC,5.0,49
LGBMC,no,ACC,15.0,41
LGBMC,no,ACC,12.0,41
LGBMC,no,ACC,9.0,37
LGBMC,no,ACC,18.0,36
LGBMC,no,ACC,11.0,35
LGBMC,no,ACC,8.0,35
LGBMC,no,ACC,13.0,35
LGBMC,no,ACC,20.0,32
LGBMC,no,ACC,14.0,32
LGBMC,no,ACC,10.0,32
LGBMC,no,ACC,16.0,30
LGBMC,no,ACC,19.0,24
LGBMC,no,ACC,17.0,24
LGBMC,no,ACC,21.0,23
LGBMC,no,ACC,22.0,19
LGBMC,no,ACC,23.0,19
LGBMC,no,ACC,24.0,16
LGBMC,no,ACC,25.0,13
LGBMC,no,ACC,27.0,12
LGBMC,no,ACC,26.0,11
LGBMC,no,ACC,28.0,9
LGBMC,no,ACC,29.0,9
LGBMC,no,ACC,30.0,7
LGBMC,no,ACC,31.0,5
LGBMC,no,AUC,0.0,198
LGBMC,no,AUC,3.0,79
LGBMC,no,AUC,2.0,67
LGBMC,no,AUC,1.0,64
LGBMC,no,AUC,7.0,58
LGBMC,no,AUC,4.0,48
LGBMC,no,AUC,5.0,46
LGBMC,no,AUC,6.0,44
LGBMC,no,AUC,10.0,39
LGBMC,no,AUC,8.0,39
LGBMC,no,AUC,13.0,37
LGBMC,no,AUC,12.0,36
LGBMC,no,AUC,9.0,36
LGBMC,no,AUC,19.0,34
LGBMC,no,AUC,16.0,33
LGBMC,no,AUC,17.0,32
LGBMC,no,AUC,18.0,32
LGBMC,no,AUC,22.0,31
LGBMC,no,AUC,15.0,31
LGBMC,no,AUC,14.0,31
LGBMC,no,AUC,20.0,30
LGBMC,no,AUC,21.0,30
LGBMC,no,AUC,11.0,30
LGBMC,no,AUC,23.0,26
LGBMC,no,AUC,26.0,26
LGBMC,no,AUC,24.0,25
LGBMC,no,AUC,25.0,24
LGBMC,no,AUC,27.0,20
LGBMC,no,AUC,28.0,19
LGBMC,no,AUC,29.0,14
LGBMC,no,AUC,30.0,11
LGBMC,no,AUC,31.0,6
LGBMC,no,F1,0.0,215
LGBMC,no,F1,1.0,88
LGBMC,no,F1,2.0,66
LGBMC,no,F1,3.0,46
LGBMC,no,F1,5.0,42
LGBMC,no,F1,6.0,41
LGBMC,no,F1,4.0,40
LGBMC,no,F1,7.0,40
LGBMC,no,F1,15.0,39
LGBMC,no,F1,11.0,39
LGBMC,no,F1,12.0,36
LGBMC,no,F1,9.0,33
LGBMC,no,F1,8.0,32
LGBMC,no,F1,13.0,32
LGBMC,no,F1,19.0,31
LGBMC,no,F1,16.0,31
LGBMC,no,F1,10.0,30
LGBMC,no,F1,14.0,29
LGBMC,no,F1,21.0,27
LGBMC,no,F1,23.0,27
LGBMC,no,F1,18.0,27
LGBMC,no,F1,17.0,27
LGBMC,no,F1,25.0,25
LGBMC,no,F1,22.0,25
LGBMC,no,F1,20.0,24
LGBMC,no,F1,24.0,23
LGBMC,no,F1,26.0,20
LGBMC,no,F1,27.0,18
LGBMC,no,F1,28.0,17
LGBMC,no,F1,29.0,16
LGBMC,no,F1,30.0,12
LGBMC,no,F1,31.0,4
LR,full,ACC,1.0,63
LR,full,ACC,5.0,57
LR,full,ACC,0.0,42
LR,full,ACC,2.0,41
LR,full,ACC,10.0,39
LR,full,ACC,6.0,38
LR,full,ACC,4.0,36
LR,full,ACC,8.0,36
LR,full,ACC,7.0,35
LR,full,ACC,3.0,28
LR,full,ACC,9.0,26
LR,full,ACC,11.0,25
LR,full,ACC,13.0,22
LR,full,ACC,12.0,20
LR,full,ACC,15.0,20
LR,full,ACC,14.0,19
LR,full,ACC,18.0,15
LR,full,ACC,16.0,15
LR,full,ACC,17.0,13
LR,full,ACC,19.0,12
LR,full,ACC,21.0,11
LR,full,ACC,20.0,11
LR,full,ACC,22.0,8
LR,full,ACC,23.0,7
LR,full,ACC,24.0,7
LR,full,ACC,25.0,7
LR,full,ACC,26.0,5
LR,full,ACC,27.0,3
LR,full,ACC,28.0,3
LR,full,ACC,29.0,3
LR,full,ACC,30.0,3
LR,full,ACC,31.0,2
LR,full,AUC,0.0,67
LR,full,AUC,7.0,49
LR,full,AUC,1.0,47
LR,full,AUC,4.0,46
LR,full,AUC,10.0,36
LR,full,AUC,8.0,31
LR,full,AUC,2.0,31
LR,full,AUC,13.0,31
LR,full,AUC,12.0,31
LR,full,AUC,11.0,29
LR,full,AUC,6.0,29
LR,full,AUC,9.0,28
LR,full,AUC,3.0,28
LR,full,AUC,5.0,27
LR,full,AUC,15.0,25
LR,full,AUC,14.0,25
LR,full,AUC,16.0,24
LR,full,AUC,17.0,23
LR,full,AUC,19.0,21
LR,full,AUC,20.0,21
LR,full,AUC,18.0,20
LR,full,AUC,23.0,18
LR,full,AUC,21.0,16
LR,full,AUC,22.0,15
LR,full,AUC,25.0,14
LR,full,AUC,24.0,14
LR,full,AUC,26.0,13
LR,full,AUC,28.0,11
LR,full,AUC,27.0,11
LR,full,AUC,29.0,9
LR,full,AUC,30.0,6
LR,full,AUC,31.0,4
LR,full,F1,1.0,66
LR,full,F1,0.0,60
LR,full,F1,5.0,52
LR,full,F1,10.0,40
LR,full,F1,2.0,35
LR,full,F1,8.0,34
LR,full,F1,7.0,33
LR,full,F1,11.0,32
LR,full,F1,3.0,30
LR,full,F1,6.0,30
LR,full,F1,4.0,29
LR,full,F1,12.0,27
LR,full,F1,14.0,26
LR,full,F1,17.0,26
LR,full,F1,16.0,25
LR,full,F1,13.0,25
LR,full,F1,9.0,25
LR,full,F1,18.0,24
LR,full,F1,15.0,23
LR,full,F1,19.0,22
LR,full,F1,20.0,21
LR,full,F1,21.0,21
LR,full,F1,22.0,18
LR,full,F1,24.0,17
LR,full,F1,23.0,16
LR,full,F1,25.0,15
LR,full,F1,26.0,14
LR,full,F1,27.0,13
LR,full,F1,28.0,12
LR,full,F1,29.0,10
LR,full,F1,30.0,6
LR,full,F1,31.0,5
LR,model,ACC,0.0,207
LR,model,ACC,1.0,79
LR,model,ACC,4.0,62
LR,model,ACC,3.0,59
LR,model,ACC,2.0,57
LR,model,ACC,5.0,55
LR,model,ACC,7.0,54
LR,model,ACC,8.0,44
LR,model,ACC,9.0,43
LR,model,ACC,6.0,43
LR,model,ACC,10.0,41
LR,model,ACC,13.0,39
LR,model,ACC,11.0,37
LR,model,ACC,12.0,36
LR,model,ACC,16.0,35
LR,model,ACC,15.0,30
LR,model,ACC,14.0,28
LR,model,ACC,17.0,28
LR,model,ACC,19.0,24
LR,model,ACC,18.0,23
LR,model,ACC,22.0,22
LR,model,ACC,20.0,21
LR,model,ACC,21.0,19
LR,model,ACC,23.0,18
LR,model,ACC,24.0,18
LR,model,ACC,27.0,16
LR,model,ACC,26.0,16
LR,model,ACC,25.0,16
LR,model,ACC,29.0,13
LR,model,ACC,28.0,13
LR,model,ACC,30.0,9
LR,model,ACC,31.0,6
LR,model,AUC,0.0,196
LR,model,AUC,1.0,56
LR,model,AUC,4.0,54
LR,model,AUC,15.0,47
LR,model,AUC,14.0,42
LR,model,AUC,8.0,42
LR,model,AUC,3.0,41
LR,model,AUC,9.0,39
LR,model,AUC,12.0,39
LR,model,AUC,6.0,39
LR,model,AUC,16.0,38
LR,model,AUC,5.0,38
LR,model,AUC,2.0,37
LR,model,AUC,10.0,37
LR,model,AUC,13.0,37
LR,model,AUC,17.0,35
LR,model,AUC,11.0,34
LR,model,AUC,7.0,33
LR,model,AUC,18.0,32
LR,model,AUC,19.0,31
LR,model,AUC,23.0,30
LR,model,AUC,20.0,28
LR,model,AUC,21.0,27
LR,model,AUC,22.0,27
LR,model,AUC,24.0,23
LR,model,AUC,26.0,23
LR,model,AUC,25.0,22
LR,model,AUC,27.0,21
LR,model,AUC,28.0,14
LR,model,AUC,29.0,11
LR,model,AUC,30.0,8
LR,model,AUC,31.0,3
LR,model,F1,0.0,181
LR,model,F1,9.0,54
LR,model,F1,16.0,50
LR,model,F1,1.0,49
LR,model,F1,13.0,39
LR,model,F1,5.0,39
LR,model,F1,3.0,38
LR,model,F1,7.0,37
LR,model,F1,6.0,34
LR,model,F1,2.0,33
LR,model,F1,14.0,33
LR,model,F1,4.0,32
LR,model,F1,18.0,32
LR,model,F1,15.0,32
LR,model,F1,8.0,30
LR,model,F1,10.0,30
LR,model,F1,21.0,30
LR,model,F1,11.0,29
LR,model,F1,12.0,29
LR,model,F1,17.0,29
LR,model,F1,22.0,29
LR,model,F1,19.0,28
LR,model,F1,20.0,28
LR,model,F1,23.0,26
LR,model,F1,24.0,24
LR,model,F1,25.0,24
LR,model,F1,27.0,22
LR,model,F1,26.0,21
LR,model,F1,28.0,18
LR,model,F1,29.0,16
LR,model,F1,30.0,13
LR,model,F1,31.0,7
LR,no,ACC,0.0,181
LR,no,ACC,1.0,67
LR,no,ACC,3.0,53
LR,no,ACC,7.0,49
LR,no,ACC,10.0,49
LR,no,ACC,4.0,49
LR,no,ACC,5.0,46
LR,no,ACC,6.0,45
LR,no,ACC,8.0,45
LR,no,ACC,13.0,44
LR,no,ACC,11.0,43
LR,no,ACC,2.0,42
LR,no,ACC,16.0,38
LR,no,ACC,14.0,33
LR,no,ACC,9.0,32
LR,no,ACC,15.0,31
LR,no,ACC,12.0,30
LR,no,ACC,17.0,26
LR,no,ACC,18.0,24
LR,no,ACC,20.0,21
LR,no,ACC,19.0,21
LR,no,ACC,24.0,20
LR,no,ACC,23.0,19
LR,no,ACC,21.0,19
LR,no,ACC,22.0,19
LR,no,ACC,25.0,16
LR,no,ACC,26.0,14
LR,no,ACC,27.0,12
LR,no,ACC,29.0,10
LR,no,ACC,28.0,10
LR,no,ACC,30.0,8
LR,no,ACC,31.0,4
LR,no,AUC,0.0,169
LR,no,AUC,1.0,69
LR,no,AUC,6.0,58
LR,no,AUC,2.0,55
LR,no,AUC,13.0,51
LR,no,AUC,11.0,51
LR,no,AUC,16.0,47
LR,no,AUC,7.0,45
LR,no,AUC,4.0,45
LR,no,AUC,5.0,41
LR,no,AUC,15.0,39
LR,no,AUC,8.0,39
LR,no,AUC,3.0,38
LR,no,AUC,9.0,36
LR,no,AUC,12.0,35
LR,no,AUC,14.0,35
LR,no,AUC,10.0,33
LR,no,AUC,17.0,32
LR,no,AUC,19.0,31
LR,no,AUC,18.0,30
LR,no,AUC,20.0,30
LR,no,AUC,21.0,29
LR,no,AUC,22.0,25
LR,no,AUC,24.0,25
LR,no,AUC,23.0,24
LR,no,AUC,26.0,23
LR,no,AUC,25.0,23
LR,no,AUC,27.0,20
LR,no,AUC,28.0,18
LR,no,AUC,29.0,16
LR,no,AUC,30.0,10
LR,no,AUC,31.0,5
LR,no,F1,0.0,164
LR,no,F1,1.0,81
LR,no,F1,6.0,62
LR,no,F1,3.0,51
LR,no,F1,9.0,41
LR,no,F1,16.0,40
LR,no,F1,2.0,38
LR,no,F1,7.0,38
LR,no,F1,4.0,38
LR,no,F1,15.0,38
LR,no,F1,13.0,38
LR,no,F1,5.0,36
LR,no,F1,10.0,34
LR,no,F1,8.0,33
LR,no,F1,11.0,32
LR,no,F1,17.0,31
LR,no,F1,14.0,31
LR,no,F1,12.0,31
LR,no,F1,18.0,27
LR,no,F1,20.0,27
LR,no,F1,22.0,26
LR,no,F1,21.0,26
LR,no,F1,19.0,26
LR,no,F1,25.0,25
LR,no,F1,23.0,25
LR,no,F1,24.0,24
LR,no,F1,26.0,23
LR,no,F1,27.0,21
LR,no,F1,28.0,20
LR,no,F1,29.0,16
LR,no,F1,30.0,9
LR,no,F1,31.0,4
SVC,full,ACC,1.0,53
SVC,full,ACC,11.0,47
SVC,full,ACC,10.0,45
SVC,full,ACC,6.0,45
SVC,full,ACC,4.0,44
SVC,full,ACC,0.0,43
SVC,full,ACC,7.0,43
SVC,full,ACC,9.0,41
SVC,full,ACC,13.0,38
SVC,full,ACC,2.0,35
SVC,full,ACC,3.0,31
SVC,full,ACC,5.0,30
SVC,full,ACC,8.0,25
SVC,full,ACC,12.0,25
SVC,full,ACC,14.0,23
SVC,full,ACC,15.0,17
SVC,full,ACC,17.0,11
SVC,full,ACC,16.0,11
SVC,full,ACC,19.0,10
SVC,full,ACC,18.0,9
SVC,full,ACC,22.0,8
SVC,full,ACC,20.0,8
SVC,full,ACC,23.0,6
SVC,full,ACC,21.0,6
SVC,full,ACC,24.0,6
SVC,full,ACC,25.0,4
SVC,full,ACC,29.0,3
SVC,full,ACC,27.0,2
SVC,full,ACC,26.0,2
SVC,full,ACC,28.0,1
SVC,full,AUC,1.0,44
SVC,full,AUC,4.0,39
SVC,full,AUC,12.0,36
SVC,full,AUC,11.0,31
SVC,full,AUC,10.0,31
SVC,full,AUC,6.0,30
SVC,full,AUC,3.0,29
SVC,full,AUC,9.0,29
SVC,full,AUC,8.0,28
SVC,full,AUC,13.0,25
SVC,full,AUC,0.0,23
SVC,full,AUC,2.0,22
SVC,full,AUC,19.0,21
SVC,full,AUC,7.0,21
SVC,full,AUC,15.0,20
SVC,full,AUC,5.0,18
SVC,full,AUC,14.0,17
SVC,full,AUC,16.0,15
SVC,full,AUC,18.0,14
SVC,full,AUC,17.0,13
SVC,full,AUC,20.0,12
SVC,full,AUC,21.0,11
SVC,full,AUC,25.0,8
SVC,full,AUC,22.0,8
SVC,full,AUC,24.0,7
SVC,full,AUC,23.0,7
SVC,full,AUC,28.0,6
SVC,full,AUC,26.0,4
SVC,full,AUC,27.0,4
SVC,full,AUC,29.0,2
SVC,full,AUC,30.0,1
SVC,full,F1,0.0,58
SVC,full,F1,1.0,46
SVC,full,F1,5.0,37
SVC,full,F1,13.0,32
SVC,full,F1,10.0,29
SVC,full,F1,2.0,28
SVC,full,F1,11.0,28
SVC,full,F1,6.0,26
SVC,full,F1,12.0,25
SVC,full,F1,18.0,25
SVC,full,F1,7.0,25
SVC,full,F1,19.0,25
SVC,full,F1,4.0,25
SVC,full,F1,9.0,25
SVC,full,F1,14.0,24
SVC,full,F1,3.0,22
SVC,full,F1,8.0,21
SVC,full,F1,16.0,21
SVC,full,F1,20.0,20
SVC,full,F1,15.0,20
SVC,full,F1,17.0,20
SVC,full,F1,22.0,18
SVC,full,F1,23.0,15
SVC,full,F1,24.0,12
SVC,full,F1,21.0,11
SVC,full,F1,25.0,9
SVC,full,F1,26.0,8
SVC,full,F1,27.0,6
SVC,full,F1,28.0,4
SVC,full,F1,29.0,2
SVC,full,F1,30.0,2
SVC,full,F1,31.0,1
SVC,no,ACC,0.0,184
SVC,no,ACC,2.0,122
SVC,no,ACC,9.0,66
SVC,no,ACC,4.0,61
SVC,no,ACC,7.0,51
SVC,no,ACC,3.0,49
SVC,no,ACC,10.0,48
SVC,no,ACC,5.0,48
SVC,no,ACC,6.0,46
SVC,no,ACC,1.0,45
SVC,no,ACC,8.0,41
SVC,no,ACC,11.0,32
SVC,no,ACC,13.0,31
SVC,no,ACC,12.0,24
SVC,no,ACC,14.0,24
SVC,no,ACC,17.0,21
SVC,no,ACC,15.0,21
SVC,no,ACC,18.0,20
SVC,no,ACC,16.0,18
SVC,no,ACC,21.0,17
SVC,no,ACC,19.0,16
SVC,no,ACC,20.0,15
SVC,no,ACC,22.0,11
SVC,no,ACC,23.0,9
SVC,no,ACC,24.0,8
SVC,no,ACC,25.0,8
SVC,no,ACC,26.0,7
SVC,no,ACC,27.0,5
SVC,no,ACC,29.0,4
SVC,no,ACC,28.0,4
SVC,no,ACC,30.0,1
SVC,no,AUC,0.0,182
SVC,no,AUC,2.0,125
SVC,no,AUC,1.0,78
SVC,no,AUC,4.0,74
SVC,no,AUC,11.0,51
SVC,no,AUC,13.0,45
SVC,no,AUC,3.0,41
SVC,no,AUC,10.0,41
SVC,no,AUC,9.0,40
SVC,no,AUC,6.0,40
SVC,no,AUC,5.0,39
SVC,no,AUC,12.0,39
SVC,no,AUC,7.0,38
SVC,no,AUC,8.0,37
SVC,no,AUC,17.0,31
SVC,no,AUC,14.0,30
SVC,no,AUC,15.0,29
SVC,no,AUC,16.0,28
SVC,no,AUC,19.0,23
SVC,no,AUC,18.0,23
SVC,no,AUC,20.0,22
SVC,no,AUC,23.0,19
SVC,no,AUC,21.0,19
SVC,no,AUC,22.0,17
SVC,no,AUC,24.0,16
SVC,no,AUC,25.0,15
SVC,no,AUC,26.0,13
SVC,no,AUC,27.0,8
SVC,no,AUC,28.0,7
SVC,no,AUC,29.0,6
SVC,no,AUC,30.0,4
SVC,no,AUC,31.0,2
SVC,no,F1,0.0,195
SVC,no,F1,1.0,99
SVC,no,F1,2.0,74
SVC,no,F1,3.0,56
SVC,no,F1,4.0,56
SVC,no,F1,7.0,50
SVC,no,F1,10.0,48
SVC,no,F1,11.0,43
SVC,no,F1,13.0,42
SVC,no,F1,8.0,38
SVC,no,F1,5.0,37
SVC,no,F1,9.0,35
SVC,no,F1,6.0,33
SVC,no,F1,12.0,29
SVC,no,F1,15.0,28
SVC,no,F1,16.0,28
SVC,no,F1,17.0,27
SVC,no,F1,14.0,25
SVC,no,F1,19.0,21
SVC,no,F1,20.0,18
SVC,no,F1,18.0,18
SVC,no,F1,21.0,16
SVC,no,F1,22.0,16
SVC,no,F1,23.0,15
SVC,no,F1,25.0,14
SVC,no,F1,24.0,14
SVC,no,F1,26.0,13
SVC,no,F1,27.0,9
SVC,no,F1,28.0,7
SVC,no,F1,29.0,6
SVC,no,F1,30.0,5
SVC,no,F1,31.0,2
